Diet,Source,Recipe,Quantity,Unit,Ingredient,Image,Price
Paleo,http://www.theclothesmakethegirl.com/2011/04/29/stovetop-pork-carnitas/,Stovetop Pork Carnitas,48,oz,Pork shoulder,http://www.theclothesmakethegirl.com/wp-content/uploads/2011/04/citruscarnitas.png,8.98
Paleo,http://www.theclothesmakethegirl.com/2011/04/29/stovetop-pork-carnitas/,Stovetop Pork Carnitas,4,oz,Lime juice,http://www.theclothesmakethegirl.com/wp-content/uploads/2011/04/citruscarnitas.png,0.3866666667
Paleo,http://www.theclothesmakethegirl.com/2011/04/29/stovetop-pork-carnitas/,Stovetop Pork Carnitas,4,oz,Lemon Juice,http://www.theclothesmakethegirl.com/wp-content/uploads/2011/04/citruscarnitas.png,0.53625
Paleo,http://www.theclothesmakethegirl.com/2011/04/29/stovetop-pork-carnitas/,Stovetop Pork Carnitas,0.5,oz,Cumin,http://www.theclothesmakethegirl.com/wp-content/uploads/2011/04/citruscarnitas.png,1.426666667
Paleo,http://www.theclothesmakethegirl.com/2011/04/29/stovetop-pork-carnitas/,Stovetop Pork Carnitas,0.5,oz,Garlic Powder,http://www.theclothesmakethegirl.com/wp-content/uploads/2011/04/citruscarnitas.png,0.4934693878
Paleo,http://www.theclothesmakethegirl.com/2011/04/29/stovetop-pork-carnitas/,Stovetop Pork Carnitas,0.25,oz,Salt,http://www.theclothesmakethegirl.com/wp-content/uploads/2011/04/citruscarnitas.png,0.29
Paleo,http://www.theclothesmakethegirl.com/2011/04/29/stovetop-pork-carnitas/,Stovetop Pork Carnitas,0.17,oz,Coriander,http://www.theclothesmakethegirl.com/wp-content/uploads/2011/04/citruscarnitas.png,0.6975862069
Paleo,http://www.theclothesmakethegirl.com/2011/04/29/stovetop-pork-carnitas/,Stovetop Pork Carnitas,0.17,oz,Black Pepper,http://www.theclothesmakethegirl.com/wp-content/uploads/2011/04/citruscarnitas.png,0.3746296296
Paleo,http://www.theclothesmakethegirl.com/2011/04/29/stovetop-pork-carnitas/,Stovetop Pork Carnitas,0.17,oz,Cayenne pepper,http://www.theclothesmakethegirl.com/wp-content/uploads/2011/04/citruscarnitas.png,0.495125
Paleo,http://www.theclothesmakethegirl.com/2014/02/07/wf2-recipe-garlic-mustard-brussels-sprouts/,Mustard-Garlic Brussels Sprouts,16,oz,Brussels sprouts,http://www.theclothesmakethegirl.com/wp-content/uploads/2014/02/mustard_garlic_brussels_sprouts.jpg,2.3
Paleo,http://www.theclothesmakethegirl.com/2014/02/07/wf2-recipe-garlic-mustard-brussels-sprouts/,Mustard-Garlic Brussels Sprouts,0.5,oz,Head garlic,http://www.theclothesmakethegirl.com/wp-content/uploads/2014/02/mustard_garlic_brussels_sprouts.jpg,0.125
Paleo,http://www.theclothesmakethegirl.com/2014/02/07/wf2-recipe-garlic-mustard-brussels-sprouts/,Mustard-Garlic Brussels Sprouts,0.5,oz,garlic cloves,http://www.theclothesmakethegirl.com/wp-content/uploads/2014/02/mustard_garlic_brussels_sprouts.jpg,0.125
Paleo,http://www.theclothesmakethegirl.com/2014/02/07/wf2-recipe-garlic-mustard-brussels-sprouts/,Mustard-Garlic Brussels Sprouts,0.5,oz,coconut aminos,http://www.theclothesmakethegirl.com/wp-content/uploads/2014/02/mustard_garlic_brussels_sprouts.jpg,0.18975
Paleo,http://www.theclothesmakethegirl.com/2014/02/07/wf2-recipe-garlic-mustard-brussels-sprouts/,Mustard-Garlic Brussels Sprouts,0.25,oz,dijon mustard,http://www.theclothesmakethegirl.com/wp-content/uploads/2014/02/mustard_garlic_brussels_sprouts.jpg,0.12015625
Paleo,http://www.theclothesmakethegirl.com/2014/02/07/wf2-recipe-garlic-mustard-brussels-sprouts/,Mustard-Garlic Brussels Sprouts,0.5,oz,black pepper,http://www.theclothesmakethegirl.com/wp-content/uploads/2014/02/mustard_garlic_brussels_sprouts.jpg,0.7117647059
Paleo,http://www.primalpalate.com/paleo-recipe/caramelized-carrots/,Caramelized Carrots,15,oz,carrots,http://www.primalpalate.com/wp-content/uploads/2014/01/paleo-braised-lamb-shanks-6-700x466.jpg,1.021875
Paleo,http://www.primalpalate.com/paleo-recipe/caramelized-carrots/,Caramelized Carrots,1.5,oz,butter,http://www.primalpalate.com/wp-content/uploads/2014/01/paleo-braised-lamb-shanks-6-700x466.jpg,0.3740625
Paleo,http://www.primalpalate.com/paleo-recipe/caramelized-carrots/,Caramelized Carrots,2,oz,coconut aminos,http://www.primalpalate.com/wp-content/uploads/2014/01/paleo-braised-lamb-shanks-6-700x466.jpg,0.759
Paleo,http://www.primalpalate.com/paleo-recipe/caramelized-carrots/,Caramelized Carrots,2,oz,water,http://www.primalpalate.com/wp-content/uploads/2014/01/paleo-braised-lamb-shanks-6-700x466.jpg,0
Paleo,http://www.primalpalate.com/paleo-recipe/caramelized-carrots/,Caramelized Carrots,0.1,oz,salt,http://www.primalpalate.com/wp-content/uploads/2014/01/paleo-braised-lamb-shanks-6-700x466.jpg,0.116
Paleo,http://www.primalpalate.com/paleo-recipe/caramelized-carrots/,Caramelized Carrots,0.1,oz,pepper,http://www.primalpalate.com/wp-content/uploads/2014/01/paleo-braised-lamb-shanks-6-700x466.jpg,0.2203703704
Paleo,http://www.primalpalate.com/paleo-recipe/garlic-ginger-chicken/,Garlic Ginger Chicken,16,oz,whole chicken leg,http://www.primalpalate.com/wp-content/uploads/2011/12/370_1-700x466.jpg,1.591111111
Paleo,http://www.primalpalate.com/paleo-recipe/garlic-ginger-chicken/,Garlic Ginger Chicken,1,oz,butter,http://www.primalpalate.com/wp-content/uploads/2011/12/370_1-700x466.jpg,0.249375
Paleo,http://www.primalpalate.com/paleo-recipe/garlic-ginger-chicken/,Garlic Ginger Chicken,1,oz,cloves,http://www.primalpalate.com/wp-content/uploads/2011/12/370_1-700x466.jpg,0.25
Paleo,http://www.primalpalate.com/paleo-recipe/garlic-ginger-chicken/,Garlic Ginger Chicken,0.5,oz,ginger,http://www.primalpalate.com/wp-content/uploads/2011/12/370_1-700x466.jpg,0.22
Paleo,http://www.primalpalate.com/paleo-recipe/garlic-ginger-chicken/,Garlic Ginger Chicken,2,oz,coconut aminos,http://www.primalpalate.com/wp-content/uploads/2011/12/370_1-700x466.jpg,0.759
Paleo,http://www.primalpalate.com/paleo-recipe/garlic-ginger-chicken/,Garlic Ginger Chicken,2,oz,fish sauce,http://www.primalpalate.com/wp-content/uploads/2011/12/370_1-700x466.jpg,1.654285714
Paleo,http://www.primalpalate.com/paleo-recipe/garlic-ginger-chicken/,Garlic Ginger Chicken,0.17,oz,black pepper,http://www.primalpalate.com/wp-content/uploads/2011/12/370_1-700x466.jpg,0.3746296296
Paleo,http://www.primalpalate.com/paleo-recipe/garlic-ginger-chicken/,Garlic Ginger Chicken,0.17,oz,salt,http://www.primalpalate.com/wp-content/uploads/2011/12/370_1-700x466.jpg,0.1972
Paleo,http://www.kimshealthyeats.com/paleo-avocado-turkey-burgers/,Paleo Avocado Turkey Burgers,16,oz,Ground turkey,http://www.kimshealthyeats.com/wp-content/uploads/2014/03/Paleo-Avocado-Turkey-Burgers-03.jpg,4.712
Paleo,http://www.kimshealthyeats.com/paleo-avocado-turkey-burgers/,Paleo Avocado Turkey Burgers,3,oz,Avocado,http://www.kimshealthyeats.com/wp-content/uploads/2014/03/Paleo-Avocado-Turkey-Burgers-03.jpg,1
Paleo,http://www.kimshealthyeats.com/paleo-avocado-turkey-burgers/,Paleo Avocado Turkey Burgers,0.5,oz,Green onions,http://www.kimshealthyeats.com/wp-content/uploads/2014/03/Paleo-Avocado-Turkey-Burgers-03.jpg,0.1990909091
Paleo,http://www.kimshealthyeats.com/paleo-avocado-turkey-burgers/,Paleo Avocado Turkey Burgers,0.5,oz,Cilantro,http://www.kimshealthyeats.com/wp-content/uploads/2014/03/Paleo-Avocado-Turkey-Burgers-03.jpg,0.845
Paleo,http://www.kimshealthyeats.com/paleo-avocado-turkey-burgers/,Paleo Avocado Turkey Burgers,4,oz,Tomato,http://www.kimshealthyeats.com/wp-content/uploads/2014/03/Paleo-Avocado-Turkey-Burgers-03.jpg,1.1
Paleo,http://www.kimshealthyeats.com/paleo-avocado-turkey-burgers/,Paleo Avocado Turkey Burgers,4,oz,Baby Arugula,http://www.kimshealthyeats.com/wp-content/uploads/2014/03/Paleo-Avocado-Turkey-Burgers-03.jpg,3.992
Lactose-Free,http://www.yummly.com/recipe/Aleppo-Rubbed-Pork-Ribs-532984?servings=1&unitType=imperial,Aleppo-Rubbed Pork Ribs,0.05555555556,oz,aleppo pepper,http://lh5.ggpht.com/HNUjbNzQh6DPmpmM12kv3ao4DEbp74a4SU35ZkXaoOKF1aeaHD33GefG5hXcA0vdJoM2BZNdjgkK4y8hwmJUEw=s730,0.04118125
Lactose-Free,http://www.yummly.com/recipe/Aleppo-Rubbed-Pork-Ribs-532984?servings=1&unitType=imperial,Aleppo-Rubbed Pork Ribs,0.04166666667,oz,kosher salt,http://lh5.ggpht.com/HNUjbNzQh6DPmpmM12kv3ao4DEbp74a4SU35ZkXaoOKF1aeaHD33GefG5hXcA0vdJoM2BZNdjgkK4y8hwmJUEw=s731,0.048256
Lactose-Free,http://www.yummly.com/recipe/Aleppo-Rubbed-Pork-Ribs-532984?servings=1&unitType=imperial,Aleppo-Rubbed Pork Ribs,0.04166666667,oz,brown sugar,http://lh5.ggpht.com/HNUjbNzQh6DPmpmM12kv3ao4DEbp74a4SU35ZkXaoOKF1aeaHD33GefG5hXcA0vdJoM2BZNdjgkK4y8hwmJUEw=s732,0.003367
